,Paper_ID,Item.Type,Publication.Year,Author,Title,Forest_type,Country,Rainfall_mm,Elevation,Matrix,Matrix_mean,Fragment_size_ha,Dist_to_forest_km,Distance_to_fragment_km,Latitude,Longitude,Family,Species,Habitat_affinity,Strata,Wing_loading,Aspect_ratio,Call_type,FA_length,Conservation_status,Averagemass_g,Trophic_level,Treatment,Unique_name,DataType,Response,Mist_net_hours,Rate,Sample_size,Total,Forest_Group,Diet,Habitat_affinity_new,Foraging_strat
1,7,journalArticle,2017,Rocha et al.,Consequences of a large-scale fragmentation experiment for Neotropical bats: disentangling the relative importance of local and landscape-scale effects,Lowland Tropical Forest,Brazil,2400,100,Secondary forest,Secondary forest,NA,NA,NA,-2.24,-59.43,Phyllostomidae,Ametrida centurio,cluttered space–gleaning frugivore,Canopy,37.9,6.01,NA,29,LC,10.61,Phytophagous,Cont,Interior,AB,0,12096,0,9,NA,Tropical_Lowland,Frugivore,Clutter-adapted,Gleaner
2,7,journalArticle,2017,Rocha et al.,Consequences of a large-scale fragmentation experiment for Neotropical bats: disentangling the relative importance of local and landscape-scale effects,Lowland Tropical Forest,Brazil,2400,100,Secondary forest,Secondary forest,NA,NA,NA,-2.24,-59.43,Phyllostomidae,Ametrida centurio,cluttered space–gleaning frugivore,Canopy,37.9,6.01,NA,29,LC,10.61,Phytophagous,Cont,Edge,AB,2,672,0.00297619,3,NA,Tropical_Lowland,Frugivore,Clutter-adapted,Gleaner
3,7,journalArticle,2017,Rocha et al.,Consequences of a large-scale fragmentation experiment for Neotropical bats: disentangling the relative importance of local and landscape-scale effects,Lowland Tropical Forest,Brazil,2400,100,Secondary forest,Secondary forest,NA,NA,NA,-2.24,-59.43,Phyllostomidae,Ametrida centurio,cluttered space–gleaning frugivore,Canopy,37.9,6.01,NA,29,LC,10.61,Phytophagous,Frag,Interior,AB,0,10752,0,8,NA,Tropical_Lowland,Frugivore,Clutter-adapted,Gleaner
4,7,journalArticle,2017,Rocha et al.,Consequences of a large-scale fragmentation experiment for Neotropical bats: disentangling the relative importance of local and landscape-scale effects,Lowland Tropical Forest,Brazil,2400,100,Secondary forest,Secondary forest,NA,NA,NA,-2.24,-59.43,Phyllostomidae,Ametrida centurio,cluttered space–gleaning frugivore,Canopy,37.9,6.01,NA,29,LC,10.61,Phytophagous,Frag,Edge,AB,2,5376,0.000372024,8,NA,Tropical_Lowland,Frugivore,Clutter-adapted,Gleaner
5,12,journalArticle,2001,Bernard et al.,Bat Species Composition in Three Localities in the Amazon Basin,Lowland Tropical Forest,Brazil,1975,70,Savanna,Open_land,NA,NA,NA,-2.31,-55,Phyllostomidae,Ametrida centurio,cluttered space–gleaning frugivore,Canopy,37.9,6.01,NA,29,LC,10.61,Phytophagous,Frag,NA,AB,1,3474,0.000287853,25,NA,Tropical_Lowland,Frugivore,Clutter-adapted,Gleaner
6,12,journalArticle,2001,Bernard et al.,Bat Species Composition in Three Localities in the Amazon Basin,Lowland Tropical Forest,Brazil,1975,70,Savanna,Open_land,NA,NA,NA,-2.31,-55,Phyllostomidae,Ametrida centurio,cluttered space–gleaning frugivore,Canopy,37.9,6.01,NA,29,LC,10.61,Phytophagous,Cont,NA,AB,0,564,0,4,NA,Tropical_Lowland,Frugivore,Clutter-adapted,Gleaner
7,18,journalArticle,2007,Bernard et al.,"Bats in a fragmented landscape: Species composition, diversity and habitat interactions in savannas of Santarém, Central Amazonia, Brazil",Semideciduous forest,Brazil,3534,35,Savanna,Open_land,NA,NA,NA,-2.502,-54.955,Phyllostomidae,Ametrida centurio,cluttered space–gleaning frugivore,Canopy,37.9,6.01,NA,29,LC,10.61,Phytophagous,Frag,NA,AB,0,4492,0,11,NA,Tropical_Lowland,Frugivore,Clutter-adapted,Gleaner
8,18,journalArticle,2007,Bernard et al.,"Bats in a fragmented landscape: Species composition, diversity and habitat interactions in savannas of Santarém, Central Amazonia, Brazil",Semideciduous forest,Brazil,3534,35,Savanna,Open_land,NA,NA,NA,-2.502,-54.955,Phyllostomidae,Ametrida centurio,cluttered space–gleaning frugivore,Canopy,37.9,6.01,NA,29,LC,10.61,Phytophagous,Cont,NA,AB,0,2926,0,5,NA,Tropical_Lowland,Frugivore,Clutter-adapted,Gleaner
9,26,journalArticle,2017,Rocha et al.,Design matters: An evaluation of the impact of small man-made forest clearings on tropical bats using a before-after-control-impact design,Lowland Tropical Forest,Brazil,2700,100,Secondary forest,Secondary forest,NA,NA,NA,-2.3,-60,Phyllostomidae,Ametrida centurio,cluttered space–gleaning frugivore,Canopy,37.9,6.01,NA,29,LC,10.61,Phytophagous,Cont,NA,AB,0,1344,0,7,NA,Tropical_Lowland,Frugivore,Clutter-adapted,Gleaner
10,26,journalArticle,2017,Rocha et al.,Design matters: An evaluation of the impact of small man-made forest clearings on tropical bats using a before-after-control-impact design,Lowland Tropical Forest,Brazil,2700,100,Secondary forest,Secondary forest,NA,NA,NA,-2.3,-60,Phyllostomidae,Ametrida centurio,cluttered space–gleaning frugivore,Canopy,37.9,6.01,NA,29,LC,10.61,Phytophagous,Frag,Before_reisolation,AB,0,1344,0,8,NA,Tropical_Lowland,Frugivore,Clutter-adapted,Gleaner
