"","SiteUID","Paper_ID","Treatment","UniqueFragID","Fragment_size_ha","Response","Sample_size_sum","Mist_net_hours","site_value","Cont_Paper_ID","Cont_SiteUID","Cont_UniqueFragID","Cont_Fragment_size_ha","Cont_Sample_size_sum","Cont_Value","lnRR","Comparison","Type","Partner_Paper_ID","Partner_SiteUID","Partner_UniqueFragID","Partner_Fragment_size_ha","Partner_site_value","Partner_Sample_size_sum","Response_site","Mist_net_hours_site","Sample_size","Rate","Treatment_site","UniqueFragID_site","Unique_name","Rainfall_mm","Elevation","Matrix_mean","Fragment_size_ha_site","Latitude","Longitude","Forest_Group","Forest_type","Country","Publication.Year","SiteUID_new","Cont_loc_key_new","Cont_SiteUID_generated_new","Cont_SiteUID_new","pooled_cont_new","Value"
"1","Frag__1_-2.24_-59.43_10_Colosso",1,"Frag","1_-2.24_-59.43_10_Colosso",10,1037,1,7644,0.135661957090529,1,"Pooled_Cont__1",NA,NA,3,0.0941260744985673,0.355415220839531,"Frag_vs_Cont","AB_level",NA,NA,NA,NA,NA,NA,1037,7644,1,0.135661957090529,"Frag","1_-2.24_-59.43_10_Colosso","Colosso",2400,92,"Secondary forest",10,-2.24,-59.43,"Tropical_Lowland","Lowland Tropical Forest","Brazil",2003,"Frag__1_-2.24_-59.43_10_Colosso",NA,NA,NA,FALSE,0.135661957090529
"2","Frag__1_-2.24_-59.43_10_Dimona",1,"Frag","1_-2.24_-59.43_10_Dimona",10,572,1,7226,0.079158593966233,1,"Pooled_Cont__1",NA,NA,3,0.0941260744985673,-0.166985235026146,"Frag_vs_Cont","AB_level",NA,NA,NA,NA,NA,NA,572,7226,1,0.079158593966233,"Frag","1_-2.24_-59.43_10_Dimona","Dimona",2400,92,"Secondary forest",10,-2.24,-59.43,"Tropical_Lowland","Lowland Tropical Forest","Brazil",2003,"Frag__1_-2.24_-59.43_10_Dimona",NA,NA,NA,FALSE,0.079158593966233
"3","Frag__1_-2.24_-59.43_1_PortoAlegre",1,"Frag","1_-2.24_-59.43_1_PortoAlegre",1,1013,1,7392,0.137040043290043,1,"Pooled_Cont__1",NA,NA,3,0.0941260744985673,0.365290487051171,"Frag_vs_Cont","AB_level",NA,NA,NA,NA,NA,NA,1013,7392,1,0.137040043290043,"Frag","1_-2.24_-59.43_1_PortoAlegre","PortoAlegre",2400,92,"Secondary forest",1,-2.24,-59.43,"Tropical_Lowland","Lowland Tropical Forest","Brazil",2003,"Frag__1_-2.24_-59.43_1_PortoAlegre",NA,NA,NA,FALSE,0.137040043290043
"4","Frag__1_-2.24_-59.43_1_PortoAlegre",1,"Frag","1_-2.24_-59.43_1_PortoAlegre",1,1013,1,7392,0.137040043290043,NA,NA,NA,NA,NA,NA,0.00987526621164042,"Frag_vs_Frag","AB_level",1,"Frag__1_-2.24_-59.43_10_Colosso","1_-2.24_-59.43_10_Colosso",10,0.135661957090529,1,1013,7392,1,0.137040043290043,"Frag","1_-2.24_-59.43_1_PortoAlegre","PortoAlegre",2400,92,"Secondary forest",1,-2.24,-59.43,"Tropical_Lowland","Lowland Tropical Forest","Brazil",2003,"Frag__1_-2.24_-59.43_1_PortoAlegre",NA,NA,NA,FALSE,0.137040043290043
"5","Frag__1_-2.24_-59.43_1_PortoAlegre",1,"Frag","1_-2.24_-59.43_1_PortoAlegre",1,1013,1,7392,0.137040043290043,NA,NA,NA,NA,NA,NA,0.532275722077317,"Frag_vs_Frag","AB_level",1,"Frag__1_-2.24_-59.43_10_Dimona","1_-2.24_-59.43_10_Dimona",10,0.079158593966233,1,1013,7392,1,0.137040043290043,"Frag","1_-2.24_-59.43_1_PortoAlegre","PortoAlegre",2400,92,"Secondary forest",1,-2.24,-59.43,"Tropical_Lowland","Lowland Tropical Forest","Brazil",2003,"Frag__1_-2.24_-59.43_1_PortoAlegre",NA,NA,NA,FALSE,0.137040043290043
"6","Frag__2_17.22_-89.62_10_NA",2,"Frag","2_17.22_-89.62_10_NA",10,40,1,34,1.17647058823529,2,"Pooled_Cont__2",NA,NA,11,1.34580567290284,-0.134132608827888,"Frag_vs_Cont","AB_level",NA,NA,NA,NA,NA,NA,40,34,1,1.17647058823529,"Frag","2_17.22_-89.62_10_NA",NA,1350,180,"Agriculture",10,17.22,-89.62,"Tropical_Lowland","Lowland Tropical Forest","Guatemala",2000,"Frag__2_17.22_-89.62_10_NA",NA,NA,NA,FALSE,1.17647058823529
"7","Frag__2_17.22_-89.62_15_NA",2,"Frag","2_17.22_-89.62_15_NA",15,84,1,25,3.36,2,"Pooled_Cont__2",NA,NA,11,1.34580567290284,0.913525383475002,"Frag_vs_Cont","AB_level",NA,NA,NA,NA,NA,NA,84,25,1,3.36,"Frag","2_17.22_-89.62_15_NA",NA,1350,180,"Agriculture",15,17.22,-89.62,"Tropical_Lowland","Lowland Tropical Forest","Guatemala",2000,"Frag__2_17.22_-89.62_15_NA",NA,NA,NA,FALSE,3.36
"8","Frag__2_17.22_-89.62_200_NA",2,"Frag","2_17.22_-89.62_200_NA",200,158,1,33.2,4.75903614457831,2,"Pooled_Cont__2",NA,NA,11,1.34580567290284,1.26134986997367,"Frag_vs_Cont","AB_level",NA,NA,NA,NA,NA,NA,158,33.2,1,4.75903614457831,"Frag","2_17.22_-89.62_200_NA",NA,1350,180,"Agriculture",200,17.22,-89.62,"Tropical_Lowland","Lowland Tropical Forest","Guatemala",2000,"Frag__2_17.22_-89.62_200_NA",NA,NA,NA,FALSE,4.75903614457831
"9","Frag__2_17.22_-89.62_3.5_NA",2,"Frag","2_17.22_-89.62_3.5_NA",3.5,9,1,17,0.529411764705882,2,"Pooled_Cont__2",NA,NA,11,1.34580567290284,-0.929330975474012,"Frag_vs_Cont","AB_level",NA,NA,NA,NA,NA,NA,9,17,1,0.529411764705882,"Frag","2_17.22_-89.62_3.5_NA",NA,1350,180,"Agriculture",3.5,17.22,-89.62,"Tropical_Lowland","Lowland Tropical Forest","Guatemala",2000,"Frag__2_17.22_-89.62_3.5_NA",NA,NA,NA,FALSE,0.529411764705882
"10","Frag__2_17.22_-89.62_5_NA",2,"Frag","2_17.22_-89.62_5_NA",5,47,1,41,1.14634146341463,2,"Pooled_Cont__2",NA,NA,11,1.34580567290284,-0.160004723648091,"Frag_vs_Cont","AB_level",NA,NA,NA,NA,NA,NA,47,41,1,1.14634146341463,"Frag","2_17.22_-89.62_5_NA",NA,1350,180,"Agriculture",5,17.22,-89.62,"Tropical_Lowland","Lowland Tropical Forest","Guatemala",2000,"Frag__2_17.22_-89.62_5_NA",NA,NA,NA,FALSE,1.14634146341463
"11","Frag__2_17.22_-89.62_75_NA",2,"Frag","2_17.22_-89.62_75_NA",75,94,1,36,2.61111111111111,2,"Pooled_Cont__2",NA,NA,11,1.34580567290284,0.661633056453183,"Frag_vs_Cont","AB_level",NA,NA,NA,NA,NA,NA,94,36,1,2.61111111111111,"Frag","2_17.22_-89.62_75_NA",NA,1350,180,"Agriculture",75,17.22,-89.62,"Tropical_Lowland","Lowland Tropical Forest","Guatemala",2000,"Frag__2_17.22_-89.62_75_NA",NA,NA,NA,FALSE,2.61111111111111
"12","Frag__2_17.22_-89.62_9_NA",2,"Frag","2_17.22_-89.62_9_NA",9,35,1,39,0.897435897435897,2,"Pooled_Cont__2",NA,NA,11,1.34580567290284,-0.404022214590879,"Frag_vs_Cont","AB_level",NA,NA,NA,NA,NA,NA,35,39,1,0.897435897435897,"Frag","2_17.22_-89.62_9_NA",NA,1350,180,"Agriculture",9,17.22,-89.62,"Tropical_Lowland","Lowland Tropical Forest","Guatemala",2000,"Frag__2_17.22_-89.62_9_NA",NA,NA,NA,FALSE,0.897435897435897
"13","Frag__2_17.22_-89.62_10_NA",2,"Frag","2_17.22_-89.62_10_NA",10,40,1,34,1.17647058823529,NA,NA,NA,NA,NA,NA,-1.04765799230289,"Frag_vs_Frag","AB_level",2,"Frag__2_17.22_-89.62_15_NA","2_17.22_-89.62_15_NA",15,3.36,1,40,34,1,1.17647058823529,"Frag","2_17.22_-89.62_10_NA",NA,1350,180,"Agriculture",10,17.22,-89.62,"Tropical_Lowland","Lowland Tropical Forest","Guatemala",2000,"Frag__2_17.22_-89.62_10_NA",NA,NA,NA,FALSE,1.17647058823529
"14","Frag__2_17.22_-89.62_10_NA",2,"Frag","2_17.22_-89.62_10_NA",10,40,1,34,1.17647058823529,NA,NA,NA,NA,NA,NA,-1.39548247880155,"Frag_vs_Frag","AB_level",2,"Frag__2_17.22_-89.62_200_NA","2_17.22_-89.62_200_NA",200,4.75903614457831,1,40,34,1,1.17647058823529,"Frag","2_17.22_-89.62_10_NA",NA,1350,180,"Agriculture",10,17.22,-89.62,"Tropical_Lowland","Lowland Tropical Forest","Guatemala",2000,"Frag__2_17.22_-89.62_10_NA",NA,NA,NA,FALSE,1.17647058823529
"15","Frag__2_17.22_-89.62_15_NA",2,"Frag","2_17.22_-89.62_15_NA",15,84,1,25,3.36,NA,NA,NA,NA,NA,NA,-0.347824486498665,"Frag_vs_Frag","AB_level",2,"Frag__2_17.22_-89.62_200_NA","2_17.22_-89.62_200_NA",200,4.75903614457831,1,84,25,1,3.36,"Frag","2_17.22_-89.62_15_NA",NA,1350,180,"Agriculture",15,17.22,-89.62,"Tropical_Lowland","Lowland Tropical Forest","Guatemala",2000,"Frag__2_17.22_-89.62_15_NA",NA,NA,NA,FALSE,3.36
"16","Frag__2_17.22_-89.62_3.5_NA",2,"Frag","2_17.22_-89.62_3.5_NA",3.5,9,1,17,0.529411764705882,NA,NA,NA,NA,NA,NA,-0.795198366646124,"Frag_vs_Frag","AB_level",2,"Frag__2_17.22_-89.62_10_NA","2_17.22_-89.62_10_NA",10,1.17647058823529,1,9,17,1,0.529411764705882,"Frag","2_17.22_-89.62_3.5_NA",NA,1350,180,"Agriculture",3.5,17.22,-89.62,"Tropical_Lowland","Lowland Tropical Forest","Guatemala",2000,"Frag__2_17.22_-89.62_3.5_NA",NA,NA,NA,FALSE,0.529411764705882
"17","Frag__2_17.22_-89.62_3.5_NA",2,"Frag","2_17.22_-89.62_3.5_NA",3.5,9,1,17,0.529411764705882,NA,NA,NA,NA,NA,NA,-1.84285635894901,"Frag_vs_Frag","AB_level",2,"Frag__2_17.22_-89.62_15_NA","2_17.22_-89.62_15_NA",15,3.36,1,9,17,1,0.529411764705882,"Frag","2_17.22_-89.62_3.5_NA",NA,1350,180,"Agriculture",3.5,17.22,-89.62,"Tropical_Lowland","Lowland Tropical Forest","Guatemala",2000,"Frag__2_17.22_-89.62_3.5_NA",NA,NA,NA,FALSE,0.529411764705882
"18","Frag__2_17.22_-89.62_3.5_NA",2,"Frag","2_17.22_-89.62_3.5_NA",3.5,9,1,17,0.529411764705882,NA,NA,NA,NA,NA,NA,-2.19068084544768,"Frag_vs_Frag","AB_level",2,"Frag__2_17.22_-89.62_200_NA","2_17.22_-89.62_200_NA",200,4.75903614457831,1,9,17,1,0.529411764705882,"Frag","2_17.22_-89.62_3.5_NA",NA,1350,180,"Agriculture",3.5,17.22,-89.62,"Tropical_Lowland","Lowland Tropical Forest","Guatemala",2000,"Frag__2_17.22_-89.62_3.5_NA",NA,NA,NA,FALSE,0.529411764705882
