"","X","SiteUID","Paper_ID","Treatment","UniqueFragID","Fragment_size_ha","Response","Sample_size_sum","Mist_net_hours","site_value","Cont_Paper_ID","Cont_SiteUID","Cont_UniqueFragID","Cont_Fragment_size_ha","Cont_Sample_size_sum","Cont_Value","lnRR","Comparison","Type","Partner_Paper_ID","Partner_SiteUID","Partner_UniqueFragID","Partner_Fragment_size_ha","Partner_Sample_size_sum","Partner_site_value","Response_site","Mist_net_hours_site","Sample_size","Rate","Treatment_site","UniqueFragID_site","Unique_name","Fragment_size_ha_site","Latitude","Longitude","Matrix_mean","Forest_Group","Elevation","Rainfall_mm","Forest_type","Country","Publication.Year","SiteUID_new","Cont_loc_key_new","Cont_SiteUID_generated_new","Cont_SiteUID_new","pooled_cont_new","lnRR_input","Value","nt","nc","nt_fix","nc_fix","vi_raw","vi","se_obs","lnRR_for_plot","Elevation_s","Rainfall_mm_s","Latitude_s","Longitude_s","Fragment_size_ha_s","forest_area_ref_ha","log_forest_area_ref","log_forest_area_ref_s","log_size_small","log_size_small_s","lnRR_plot"
"1",1,"Frag__1_-2.24_-59.43_10_Colosso",1,"Frag","1_-2.24_-59.43_10_Colosso",10,44,1,7644,44,1,"Pooled_Cont__1",NA,NA,3,113,-0.936313647749263,"Frag_vs_Cont","SR_level",NA,NA,NA,NA,NA,NA,44,7644,1,0.00575614861329147,"Frag","1_-2.24_-59.43_10_Colosso","Colosso",10,-2.24,-59.43,"Secondary forest","Tropical_Lowland",92,2400,"Lowland Tropical Forest","Brazil",2003,"Frag__1_-2.24_-59.43_10_Colosso",NA,NA,NA,FALSE,44,44,1,3,1,3,1.33333333333333,1.33333333333333,1.15470053837925,-0.936313647749263,-0.480345235387132,0.627498087732017,-0.646077866649806,-0.86631405122503,-0.228228184912021,10000,9.21034037197618,1.6569147377683,2.30258509299405,-0.197197004948681,0.936313647749263
"2",2,"Frag__1_-2.24_-59.43_10_Dimona",1,"Frag","1_-2.24_-59.43_10_Dimona",10,31,1,7226,31,1,"Pooled_Cont__1",NA,NA,3,113,-1.28181529108987,"Frag_vs_Cont","SR_level",NA,NA,NA,NA,NA,NA,31,7226,1,0.00429006365900913,"Frag","1_-2.24_-59.43_10_Dimona","Dimona",10,-2.24,-59.43,"Secondary forest","Tropical_Lowland",92,2400,"Lowland Tropical Forest","Brazil",2003,"Frag__1_-2.24_-59.43_10_Dimona",NA,NA,NA,FALSE,31,31,1,3,1,3,1.33333333333333,1.33333333333333,1.15470053837925,-1.28181529108987,-0.480345235387132,0.627498087732017,-0.646077866649806,-0.86631405122503,-0.228228184912021,10000,9.21034037197618,1.6569147377683,2.30258509299405,-0.197197004948681,1.28181529108987
"3",3,"Frag__1_-2.24_-59.43_1_PortoAlegre",1,"Frag","1_-2.24_-59.43_1_PortoAlegre",1,37,1,7392,37,1,"Pooled_Cont__1",NA,NA,3,113,-1.10746190394509,"Frag_vs_Cont","SR_level",NA,NA,NA,NA,NA,NA,37,7392,1,0.00500541125541125,"Frag","1_-2.24_-59.43_1_PortoAlegre","PortoAlegre",1,-2.24,-59.43,"Secondary forest","Tropical_Lowland",92,2400,"Lowland Tropical Forest","Brazil",2003,"Frag__1_-2.24_-59.43_1_PortoAlegre",NA,NA,NA,FALSE,37,37,1,3,1,3,1.33333333333333,1.33333333333333,1.15470053837925,-1.10746190394509,-0.480345235387132,0.627498087732017,-0.646077866649806,-0.86631405122503,-0.243798403758957,10000,9.21034037197618,1.6569147377683,0,-1.30079359314351,1.10746190394509
"4",4,"Frag__1_-2.24_-59.43_1_PortoAlegre",1,"Frag","1_-2.24_-59.43_1_PortoAlegre",1,37,1,7392,37,NA,NA,NA,NA,NA,NA,-0.171148256195829,"Frag_vs_Frag","SR_level",1,"Frag__1_-2.24_-59.43_10_Colosso","1_-2.24_-59.43_10_Colosso",10,1,44,37,7392,1,0.00500541125541125,"Frag","1_-2.24_-59.43_1_PortoAlegre","PortoAlegre",1,-2.24,-59.43,"Secondary forest","Tropical_Lowland",92,2400,"Lowland Tropical Forest","Brazil",2003,"Frag__1_-2.24_-59.43_1_PortoAlegre",NA,NA,NA,FALSE,37,37,1,1,1,1,2,2,1.4142135623731,0.171148256195829,-0.480345235387132,0.627498087732017,-0.646077866649806,-0.86631405122503,-0.243798403758957,10,2.30258509299405,-1.13006714258912,0,-1.30079359314351,0.171148256195829
"5",5,"Frag__1_-2.24_-59.43_1_PortoAlegre",1,"Frag","1_-2.24_-59.43_1_PortoAlegre",1,37,1,7392,37,NA,NA,NA,NA,NA,NA,0.174353387144778,"Frag_vs_Frag","SR_level",1,"Frag__1_-2.24_-59.43_10_Dimona","1_-2.24_-59.43_10_Dimona",10,1,31,37,7392,1,0.00500541125541125,"Frag","1_-2.24_-59.43_1_PortoAlegre","PortoAlegre",1,-2.24,-59.43,"Secondary forest","Tropical_Lowland",92,2400,"Lowland Tropical Forest","Brazil",2003,"Frag__1_-2.24_-59.43_1_PortoAlegre",NA,NA,NA,FALSE,37,37,1,1,1,1,2,2,1.4142135623731,-0.174353387144778,-0.480345235387132,0.627498087732017,-0.646077866649806,-0.86631405122503,-0.243798403758957,10,2.30258509299405,-1.13006714258912,0,-1.30079359314351,-0.174353387144778
"6",6,"Frag__3_-1.01_-60.29_NA_NA",3,"Frag","3_-1.01_-60.29_NA_NA",NA,4.2,28,897,4.2,3,"Pooled_Cont__3",NA,NA,6,9,-0.703729289890482,"Frag_vs_Cont","SR_level",NA,NA,NA,NA,NA,NA,4.2,897,28,0.00468227424749163,"Frag","3_-1.01_-60.29_NA_NA",NA,NA,-1.01,-60.29,"Water","Tropical_Lowland",92,2376,"Lowland Tropical Forest","Brazil",2023,"Frag__3_-1.01_-60.29_NA_NA",NA,NA,NA,FALSE,4.2,4.2,28,6,28,6,0.202380952380952,0.202380952380952,0.449867705421219,-0.703729289890482,-0.480345235387132,0.580587685759048,-0.557333081487979,-0.876249648398073,NA,10000,9.21034037197618,1.6569147377683,NA,NA,0.703729289890482
"7",7,"Frag__4_9.135788_-79.834198_5.9_Mona Grita",4,"Frag","4_9.135788_-79.834198_5.9_Mona Grita",5.9,15,1,794.23,15,4,"Pooled_Cont__4",NA,NA,6,148,-2.25974493431755,"Frag_vs_Cont","SR_level",NA,NA,NA,NA,NA,NA,15,794.23,1,0.0188862168389509,"Frag","4_9.135788_-79.834198_5.9_Mona Grita","Mona Grita",5.9,9.135788,-79.834198,"Water","Tropical_Lowland",120,2600,"Lowland Tropical Forest","Panama",2008,"Frag__4_9.135788_-79.834198_5.9_Mona Grita",NA,NA,NA,FALSE,15,15,1,6,1,6,1.16666666666667,1.16666666666667,1.08012344973464,-2.25974493431755,-0.41107435209999,1.01841810417342,0.174687874900184,-1.1020441581634,-0.235321284608958,10000,9.21034037197618,1.6569147377683,1.77495235091167,-0.450083943092119,2.25974493431755
"8",8,"Frag__4_9.176562_-79.938687_16.3_Guacha",4,"Frag","4_9.176562_-79.938687_16.3_Guacha",16.3,11,1,600.27,11,4,"Pooled_Cont__4",NA,NA,6,148,-2.55823792287355,"Frag_vs_Cont","SR_level",NA,NA,NA,NA,NA,NA,11,600.27,1,0.0183250870441635,"Frag","4_9.176562_-79.938687_16.3_Guacha","Guacha",16.3,9.176562,-79.938687,"Water","Tropical_Lowland",120,2600,"Lowland Tropical Forest","Panama",2008,"Frag__4_9.176562_-79.938687_16.3_Guacha",NA,NA,NA,FALSE,11,11,1,6,1,6,1.16666666666667,1.16666666666667,1.08012344973464,-2.55823792287355,-0.41107435209999,1.01841810417342,0.177629728453183,-1.1032513216669,-0.217329031719165,10000,9.21034037197618,1.6569147377683,2.79116510781272,0.0369725113287608,2.55823792287355
"9",9,"Frag__4_9.182747_-79.830415_4.4_Pina",4,"Frag","4_9.182747_-79.830415_4.4_Pina",4.4,17,1,808.6,17,4,"Pooled_Cont__4",NA,NA,6,148,-2.13838407731329,"Frag_vs_Cont","SR_level",NA,NA,NA,NA,NA,NA,17,808.6,1,0.0210239920850853,"Frag","4_9.182747_-79.830415_4.4_Pina","Pina",4.4,9.182747,-79.830415,"Water","Tropical_Lowland",120,2600,"Lowland Tropical Forest","Panama",2008,"Frag__4_9.182747_-79.830415_4.4_Pina",NA,NA,NA,FALSE,17,17,1,6,1,6,1.16666666666667,1.16666666666667,1.08012344973464,-2.13838407731329,-0.41107435209999,1.01841810417342,0.178075977637107,-1.10200045308885,-0.237916321083448,10000,9.21034037197618,1.6569147377683,1.48160454092422,-0.590681414708522,2.13838407731329
"10",10,"Frag__4_9.193611_-79.862883_2.8_Chicha",4,"Frag","4_9.193611_-79.862883_2.8_Chicha",2.8,15,1,793.25,15,4,"Pooled_Cont__4",NA,NA,6,148,-2.25974493431755,"Frag_vs_Cont","SR_level",NA,NA,NA,NA,NA,NA,15,793.25,1,0.0189095493224078,"Frag","4_9.193611_-79.862883_2.8_Chicha","Chicha",2.8,9.193611,-79.862883,"Water","Tropical_Lowland",120,2600,"Lowland Tropical Forest","Panama",2008,"Frag__4_9.193611_-79.862883_2.8_Chicha",NA,NA,NA,FALSE,15,15,1,6,1,6,1.16666666666667,1.16666666666667,1.08012344973464,-2.25974493431755,-0.41107435209999,1.01841810417342,0.178859817755804,-1.1023755565412,-0.24068435998957,10000,9.21034037197618,1.6569147377683,1.02961941718116,-0.80731151537032,2.25974493431755
